user_id,total_minutos,total_sms,total_mb,costo_total,plan,exceso_minutos,exceso_sms,exceso_mb,costo_extra_minutos,costo_extra_sms,costo_extra_mb,age,city,plan_id,usd_monthly_pay,minutes_included,messages_included,mb_per_month_included,usd_per_minute,usd_per_message,usd_per_gb,uso_minutos_relativo,uso_sms_relativo,uso_datos_relativo,porcentaje_exceso_minutos,porcentaje_exceso_sms,porcentaje_exceso_mb,log_total_mb,log_costo_total,segmento_edad,region_grupo
1000,0.01305322291593112,0.01455026455026455,0.007155268117752096,0.019780928461191376,ultimate,0.0,0.0,0.0,0.0,0.0,0.0,45,"Atlanta-Sandy Springs-Roswell, GA MSA",ultimate,70,3000,1000,30720,0.01,0.01,7,0.03894333333333333,0.011,0.061896809895833335,0.0,0.0,0.0,7.550908320886152,4.2626798770413155,Adulto,Centro
1001,0.1832858860281466,0.2738095238095238,0.30268951260848503,0.26682516469399364,surf,1140.46,157.0,65077.94,34.2138,4.71,635.5267578125,28,"Seattle-Tacoma-Bellevue, WA MSA",surf,20,500,50,15360,0.03,0.03,10,3.28092,4.14,5.236845052083334,2.28092,3.14,4.236845052083334,11.295253666276144,6.544559920141393,Joven,Centro
1002,0.08682745120823035,0.1164021164021164,0.15162457441193605,0.10006912609261577,surf,277.13,38.0,24933.33,8.3139,1.14,243.48955078125,36,"Las Vegas-Henderson-Paradise, NV MSA",surf,20,500,50,15360,0.03,0.03,10,1.55426,1.76,2.623263671875,0.55426,0.76,1.6232636718750002,10.603966043247253,5.612921701077923,Adulto,Centro
1003,0.1163092104381092,0.06613756613756613,0.10176761806077622,0.05156212716571846,surf,541.0,0.0,11684.14,16.23,0.0,114.1029296875,52,"Tulsa, OK MSA",surf,20,500,50,15360,0.03,0.03,10,2.082,1.0,1.7606861979166666,1.082,0.0,0.7606861979166666,10.205262600849718,5.0194822421064655,Adulto,Centro
1004,0.29261095742256105,0.23412698412698413,0.5883586259651485,0.5713766326712031,surf,2118.95,127.0,140992.81,63.56849999999999,3.81,1376.88291015625,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,20,500,50,15360,0.03,0.03,10,5.2379,3.54,10.179219401041667,4.2379,2.54,9.179219401041667,11.959876730993305,7.289788942499909,Adulto,Centro
1005,0.05253690387339838,0.01455026455026455,0.06449878879701017,0.006877620198976371,surf,0.0,0.0,1780.1699999999985,0.0,0.0,17.384472656249983,31,"Dallas-Fort Worth-Arlington, TX MSA",surf,20,500,50,15360,0.03,0.03,10,0.94044,0.22,1.1158964843749999,0.0,0.0,0.1158964843749999,9.749238451198964,3.64765301990882,Adulto,Centro
1006,0.007162904400756177,0.2037037037037037,0.12864705235556348,0.02915767966157238,ultimate,0.0,0.0,3467.1900000000023,0.0,0.0,23.701494140625016,73,"San Francisco-Oakland-Berkeley, CA MSA",ultimate,70,3000,1000,30720,0.01,0.01,7,0.02137,0.154,1.1128642578125,0.0,0.0,0.11286425781250008,10.439635541776024,4.550729777687684,Mayor,Centro
1007,0.2775499760901335,0.33730158730158727,0.5413206225569068,0.5224089458109089,surf,1984.15,205.0,128492.74,59.5245,6.15,1254.8119140625,42,"Grand Rapids-Kentwood, MI MSA",surf,20,500,50,15360,0.03,0.03,10,4.9683,5.1,9.365412760416666,3.9683,4.1,8.365412760416667,11.87655236794655,7.201533542391735,Adulto,Centro
1008,0.16461049263263272,0.1111111111111111,0.2087461145886008,0.08672363928265739,ultimate,0.0,0.0,24753.04,0.0,0.0,169.210234375,53,"Orlando-Kissimmee-Sanford, FL MSA",ultimate,70,3000,1000,30720,0.01,0.01,7,0.49110333333333334,0.084,1.8057630208333333,0.0,0.0,0.8057630208333334,10.923670442558675,5.481514516460931,Adulto,Centro
1009,0.6245257131620463,0.0,0.7045792105381395,0.724450376139099,surf,5089.68,0.0,171877.74,152.6904,0.0,1678.4935546875,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",surf,20,500,50,15360,0.03,0.03,10,11.17936,0.0,12.18995703125,10.17936,0.0,11.18995703125,12.140139766060026,7.52412073785851,Joven,Centro
