user_id,total_minutos,total_sms,total_mb,costo_total,plan,age,city,plan_id,usd_monthly_pay,uso_minutos_relativo,uso_sms_relativo,uso_datos_relativo,porcentaje_exceso_minutos,porcentaje_exceso_sms,porcentaje_exceso_mb,segmento_edad,region_grupo
1000,0.0130532229159311,0.0145502645502645,0.007155268117752,0.0197809284611913,ultimate,45,"Atlanta-Sandy Springs-Roswell, GA MSA",ultimate,70,0.0389433333333333,0.011,0.0618968098958333,0.0,0.0,0.0,Adulto,Centro
1001,0.1832858860281466,0.2738095238095238,0.302689512608485,0.2668251646939936,surf,28,"Seattle-Tacoma-Bellevue, WA MSA",surf,20,3.28092,4.14,5.236845052083334,2.28092,3.14,4.236845052083334,Joven,Centro
1002,0.0868274512082303,0.1164021164021164,0.151624574411936,0.1000691260926157,surf,36,"Las Vegas-Henderson-Paradise, NV MSA",surf,20,1.55426,1.76,2.623263671875,0.55426,0.76,1.6232636718750002,Adulto,Centro
1003,0.1163092104381092,0.0661375661375661,0.1017676180607762,0.0515621271657184,surf,52,"Tulsa, OK MSA",surf,20,2.082,1.0,1.7606861979166666,1.082,0.0,0.7606861979166666,Adulto,Centro
1004,0.292610957422561,0.2341269841269841,0.5883586259651485,0.5713766326712031,surf,40,"Seattle-Tacoma-Bellevue, WA MSA",surf,20,5.2379,3.54,10.179219401041667,4.2379,2.54,9.179219401041667,Adulto,Centro
1005,0.0525369038733983,0.0145502645502645,0.0644987887970101,0.0068776201989763,surf,31,"Dallas-Fort Worth-Arlington, TX MSA",surf,20,0.94044,0.22,1.115896484375,0.0,0.0,0.1158964843749999,Adulto,Centro
1006,0.0071629044007561,0.2037037037037037,0.1286470523555634,0.0291576796615723,ultimate,73,"San Francisco-Oakland-Berkeley, CA MSA",ultimate,70,0.02137,0.154,1.1128642578125,0.0,0.0,0.1128642578125,Mayor,Centro
1007,0.2775499760901335,0.3373015873015872,0.5413206225569068,0.5224089458109089,surf,42,"Grand Rapids-Kentwood, MI MSA",surf,20,4.9683,5.1,9.365412760416666,3.9683,4.1,8.365412760416667,Adulto,Centro
1008,0.1646104926326327,0.1111111111111111,0.2087461145886008,0.0867236392826573,ultimate,53,"Orlando-Kissimmee-Sanford, FL MSA",ultimate,70,0.4911033333333333,0.084,1.8057630208333333,0.0,0.0,0.8057630208333334,Adulto,Centro
1009,0.6245257131620463,0.0,0.7045792105381395,0.724450376139099,surf,19,"San Jose-Sunnyvale-Santa Clara, CA MSA",surf,20,11.17936,0.0,12.18995703125,10.17936,0.0,11.18995703125,Joven,Centro
